#!2theta	Int
#
4.26939	41.62996
4.27466	41.11414
4.27993	41.14352
4.28520	40.92130
4.29047	40.73166
4.29574	40.21070
4.30101	39.27928
4.30628	38.81550
4.31155	40.61826
4.31682	41.34514
4.32209	40.46554
4.32736	38.54802
4.33263	36.60496
4.33790	36.38978
4.34317	37.56908
4.34844	38.46764
4.35371	38.00088
4.35898	36.45698
4.36425	34.82846
4.36952	34.82904
4.37479	35.30686
4.38006	35.24758
4.38533	36.30792
4.39060	36.99370
4.39587	37.62098
4.40114	37.16546
4.40641	35.89076
4.41168	35.57082
4.41694	35.22110
4.42221	34.40126
4.42748	33.53592
4.43275	32.72726
4.43802	33.63488
4.44329	35.09912
4.44856	35.91996
4.45382	35.46882
4.45909	34.19782
4.46436	32.81594
4.46963	31.42886
4.47490	30.90534
4.48016	30.92208
4.48543	31.95122
4.49070	32.68854
4.49597	32.19246
4.50124	31.62190
4.50650	30.50684
4.51177	29.92266
4.51704	30.63778
4.52231	31.74956
4.52757	32.34656
4.53284	31.18708
4.53811	30.94724
4.54337	31.65144
4.54864	31.25132
4.55391	30.50638
4.55917	30.54462
4.56444	30.98738
4.56971	31.45306
4.57497	31.66260
4.58024	31.38202
4.58551	31.10156
4.59077	30.49662
4.59604	30.56738
4.60131	30.22060
4.60657	30.70842
4.61184	30.70330
4.61710	29.78828
4.62237	29.15442
4.62764	29.86240
4.63290	30.35496
4.63817	30.20182
4.64343	29.49144
4.64870	29.32602
4.65396	29.22558
4.65923	29.85618
4.66449	30.46780
4.66976	31.13070
4.67502	30.27930
4.68029	29.96912
4.68555	29.95154
4.69082	29.49262
4.69608	29.04634
4.70135	28.25956
4.70661	28.71364
4.71188	29.35864
4.71714	29.87778
4.72241	29.18462
4.72767	28.35302
4.73294	28.17172
4.73820	27.66190
4.74346	27.79088
4.74873	27.81340
4.75399	28.22286
4.75926	29.67890
4.76452	29.56576
4.76978	27.94542
4.77505	27.25968
4.78031	27.18404
4.78557	26.32178
4.79084	26.25982
4.79610	27.26440
4.80136	27.47912
4.80663	26.83990
4.81189	26.88568
4.81715	26.96620
4.82241	27.86786
4.82768	28.09648
4.83294	27.04038
4.83820	26.32872
4.84347	25.72516
4.84873	25.36466
