text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
   172.500    26.348     0.837
   177.500    26.348     7.261
   182.500    26.348     7.261
  -182.500    31.053     2.461
  -177.500    31.053     2.461
  -172.500    31.053     0.129
  -167.500    31.053     0.000
  -162.500    31.053     0.000
  -157.500    31.053     0.000
  -152.500    31.053     0.000
  -147.500    31.053     0.000
  -142.500    31.053     0.000
  -137.500    31.053     0.000
  -132.500    31.053     0.000
  -127.500    31.053     0.000
  -122.500    31.053     0.000
  -117.500    31.053     0.000
  -112.500    31.053     0.000
  -107.500    31.053     0.000
  -102.500    31.053     0.000
   -97.500    31.053     0.129
   -92.500    31.053     2.461
   -87.500    31.053     2.461
   -82.500    31.053     0.129
   -77.500    31.053     0.000
   -72.500    31.053     0.000
   -67.500    31.053     0.000
   -62.500    31.053     0.000
   -57.500    31.053     0.000
   -52.500    31.053     0.000
   -47.500    31.053     0.000
   -42.500    31.053     0.000
   -37.500    31.053     0.000
   -32.500    31.053     0.000
   -27.500    31.053     0.000
   -22.500    31.053     0.000
   -17.500    31.053     0.000
   -12.500    31.053     0.000
    -7.500    31.053     0.129
    -2.500    31.053     2.461
     2.500    31.053     2.461
     7.500    31.053     0.129
    12.500    31.053     0.000
    17.500    31.053     0.000
    22.500    31.053     0.000
    27.500    31.053     0.000
    32.500    31.053     0.000
    37.500    31.053     0.000
    42.500    31.053     0.000
    47.500    31.053     0.000
    52.500    31.053     0.000
    57.500    31.053     0.000
    62.500    31.053     0.000
    67.500    31.053     0.000
    72.500    31.053     0.000
    77.500    31.053     0.000
    82.500    31.053     0.129
    87.500    31.053     2.461
    92.500    31.053     2.461
    97.500    31.053     0.129
   102.500    31.053     0.000
   107.500    31.053     0.000
   112.500    31.053     0.000
   117.500    31.053     0.000
   122.500    31.053     0.000
   127.500    31.053     0.000
   132.500    31.053     0.000
   137.500    31.053     0.000
   142.500    31.053     0.000
   147.500    31.053     0.000
   152.500    31.053     0.000
   157.500    31.053     0.000
   162.500    31.053     0.000
   167.500    31.053     0.000
   172.500    31.053     0.129
   177.500    31.053     2.461
   182.500    31.053     2.461
  -182.500    35.762     0.392
  -177.500    35.762     0.392
  -172.500    35.762     0.003
  -167.500    35.762     0.000
  -162.500    35.762     0.000
  -157.500    35.762     0.000
  -152.500    35.762     0.000
  -147.500    35.762     0.000
  -142.500    35.762     0.000
  -137.500    35.762     0.000
  -132.500    35.762     0.000
  -127.500    35.762     0.000
  -122.500    35.762     0.000
  -117.500    35.762     0.000
  -112.500    35.762     0.000
  -107.500    35.762     0.000
  -102.500    35.762     0.000
   -97.500    35.762     0.003
   -92.500    35.762     0.392
   -87.500    35.762     0.392
   -82.500    35.762     0.003
   -77.500    35.762     0.000
   -72.500    35.762     0.000
   -67.500    35.762     0.000
   -62.500    35.762     0.000
   -57.500    35.762     0.000
   -52.500    35.762     0.000
   -47.500    35.762     0.000
   -42.500    35.762     0.000
   -37.500    35.762     0.000
   -32.500    35.762     0.000
   -27.500    35.762     0.000
   -22.500    35.762     0.000
   -17.500    35.762     0.000
   -12.500    35.762     0.000
    -7.500    35.762     0.003
    -2.500    35.762     0.392
     2.500    35.762     0.392
     7.500    35.762     0.003
    12.500    35.762     0.000
    17.500    35.762     0.000
    22.500    35.762     0.000
    27.500    35.762     0.000
    32.500    35.762     0.000
    37.500    35.762     0.000
    42.500    35.762     0.000
    47.500    35.762     0.000
    52.500    35.762     0.000
    57.500    35.762     0.000
    62.500    35.762     0.000
    67.500    35.762     0.000
    72.500    35.762     0.000
    77.500    35.762     0.000
    82.500    35.762     0.003
    87.500    35.762     0.392
    92.500    35.762     0.392
    97.500    35.762     0.003
   102.500    35.762     0.000
   107.500    35.762     0.000
   112.500    35.762     0.000
   117.500    35.762     0.000
   122.500    35.762     0.000
   127.500    35.762     0.000
   132.500    35.762     0.000
   137.500    35.762     0.000
   142.500    35.762     0.000
   147.500    35.762     0.000
   152.500    35.762     0.000
   157.500    35.762     0.000
   162.500    35.762     0.000
   167.500    35.762     0.000
   172.500    35.762     0.003
   177.500    35.762     0.392
   182.500    35.762     0.392
  -182.500    40.474     0.029
  -177.500    40.474     0.029
  -172.500    40.474     0.000
  -167.500    40.474     0.000
  -162.500    40.474     0.000
  -157.500    40.474     0.000
  -152.500    40.474     0.000
  -147.500    40.474     0.000
  -142.500    40.474     0.000
  -137.500    40.474     0.000
  -132.500    40.474     0.000
  -127.500    40.474     0.000
  -122.500    40.474     0.000
  -117.500    40.474     0.000
  -112.500    40.474     0.000
  -107.500    40.474     0.000
  -102.500    40.474     0.000
   -97.500    40.474     0.000
   -92.500    40.474     0.029
   -87.500    40.474     0.029
   -82.500    40.474     0.000
   -77.500    40.474     0.000
   -72.500    40.474     0.000
   -67.500    40.474     0.000
   -62.500    40.474     0.000
   -57.500    40.474     0.000
   -52.500    40.474     0.000
   -47.500    40.474     0.000
   -42.500    40.474     0.000
   -37.500    40.474     0.000
   -32.500    40.474     0.000
   -27.500    40.474     0.000
   -22.500    40.474     0.000
   -17.500    40.474     0.000
   -12.500    40.474     0.000
    -7.500    40.474     0.000
    -2.500    40.474     0.029
     2.500    40.474     0.029
     7.500    40.474     0.000
    12.500    40.474     0.000
    17.500    40.474     0.000
    22.500    40.474     0.000
    27.500    40.474     0.000
    32.500    40.474     0.000
    37.500    40.474     0.000
    42.500    40.474     0.000
    47.500    40.474     0.000
    52.500    40.474     0.000
    57.500    40.474     0.000
    62.500    40.474     0.000
    67.500    40.474     0.000
    72.500    40.474     0.000
    77.500    40.474     0.000
    82.500    40.474     0.000
    87.500    40.474     0.029
    92.500    40.474     0.029
    97.500    40.474     0.000
   102.500    40.474     0.000
   107.500    40.474     0.000
   112.500    40.474     0.000
   117.500    40.474     0.000
   122.500    40.474     0.000
   127.500    40.474     0.000
   132.500    40.474     0.000
   137.500    40.474     0.000
   142.500    40.474     0.000
   147.500    40.474     0.000
   152.500    40.474     0.000
   157.500    40.474     0.000
   162.500    40.474     0.000
   167.500    40.474     0.000
   172.500    40.474     0.000
   177.500    40.474     0.029
   182.500    40.474     0.029
  -182.500    45.187     0.069
  -177.500    45.187     0.069
  -172.500    45.187     0.000
  -167.500    45.187     0.000
  -162.500    45.187     0.000
  -157.500    45.187     0.000
  -152.500    45.187     0.000
  -147.500    45.187     0.000
  -142.500    45.187     0.000
  -137.500    45.187     0.000
  -132.500    45.187     0.000
  -127.500    45.187     0.000
  -122.500    45.187     0.000
  -117.500    45.187     0.000
  -112.500    45.187     0.000
  -107.500    45.187     0.000
  -102.500    45.187     0.000
   -97.500    45.187     0.000
   -92.500    45.187     0.069
   -87.500    45.187     0.069
   -82.500    45.187     0.000
   -77.500    45.187     0.000
   -72.500    45.187     0.000
   -67.500    45.187     0.000
   -62.500    45.187     0.000
   -57.500    45.187     0.000
   -52.500    45.187     0.000
   -47.500    45.187     0.000
   -42.500    45.187     0.000
   -37.500    45.187     0.000
   -32.500    45.187     0.000
   -27.500    45.187     0.000
   -22.500    45.187     0.000
   -17.500    45.187     0.000
   -12.500    45.187     0.000
    -7.500    45.187     0.000
    -2.500    45.187     0.069
     2.500    45.187     0.069
     7.500    45.187     0.000
    12.500    45.187     0.000
    17.500    45.187     0.000
    22.500    45.187     0.000
    27.500    45.187     0.000
    32.500    45.187     0.000
    37.500    45.187     0.000
    42.500    45.187     0.000
    47.500    45.187     0.000
    52.500    45.187     0.000
    57.500    45.187     0.000
    62.500    45.187     0.000
    67.500    45.187     0.000
    72.500    45.187     0.000
    77.500    45.187     0.000
    82.500    45.187     0.000
    87.500    45.187     0.069
    92.500    45.187     0.069
    97.500    45.187     0.000
   102.500    45.187     0.000
   107.500    45.187     0.000
   112.500    45.187     0.000
   117.500    45.187     0.000
   122.500    45.187     0.000
   127.500    45.187     0.000
   132.500    45.187     0.000
   137.500    45.187     0.000
   142.500    45.187     0.000
   147.500    45.187     0.000
   152.500    45.187     0.000
   157.500    45.187     0.000
   162.500    45.187     0.000
   167.500    45.187     0.000
   172.500    45.187     0.000
   177.500    45.187     0.069
   182.500    45.187     0.069
  -182.500    49.902     0.028
  -177.500    49.902     0.028
  -172.500    49.902     0.000
  -167.500    49.902     0.000
  -162.500    49.902     0.000
  -157.500    49.902     0.000
  -152.500    49.902     0.000
  -147.500    49.902     0.000
  -142.500    49.902     0.000
  -137.500    49.902     0.000
  -132.500    49.902     0.000
  -127.500    49.902     0.000
  -122.500    49.902     0.000
  -117.500    49.902     0.000
