text_01.dat                                                                     
poles     1  0  0
      phi     theta      int
   -87.500    64.051     0.683
   -82.500    64.051     0.859
   -77.500    64.051     0.959
   -72.500    64.051     1.251
   -67.500    64.051     0.897
   -62.500    64.051     1.486
   -57.500    64.051     0.698
   -52.500    64.051     1.088
   -47.500    64.051     0.824
   -42.500    64.051     0.824
   -37.500    64.051     1.088
   -32.500    64.051     0.698
   -27.500    64.051     1.486
   -22.500    64.051     0.897
   -17.500    64.051     1.251
   -12.500    64.051     0.959
    -7.500    64.051     0.859
    -2.500    64.051     0.683
     2.500    64.051     0.683
     7.500    64.051     0.859
    12.500    64.051     0.959
    17.500    64.051     1.251
    22.500    64.051     0.897
    27.500    64.051     1.486
    32.500    64.051     0.698
    37.500    64.051     1.088
    42.500    64.051     0.824
    47.500    64.051     0.824
    52.500    64.051     1.088
    57.500    64.051     0.698
    62.500    64.051     1.486
    67.500    64.051     0.897
    72.500    64.051     1.251
    77.500    64.051     0.959
    82.500    64.051     0.859
    87.500    64.051     0.683
    92.500    64.051     0.683
    97.500    64.051     0.859
   102.500    64.051     0.959
   107.500    64.051     1.251
   112.500    64.051     0.897
   117.500    64.051     1.486
   122.500    64.051     0.698
   127.500    64.051     1.088
   132.500    64.051     0.824
   137.500    64.051     0.824
